,no,question1,question2,grade,lang,q1_tokens,q2_tokens
126,155,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,semantic ambiguity use wordnet solve question wordnet entries synsets find real semantic wordnet solve problem,40,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['semantic', 'ambiguity', 'use', 'wordnet', 'solve', 'question', 'wordnet', 'entries', 'synsets', 'find', 'real', 'semantic', 'wordnet', 'solve', 'problem']"
127,156,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,problem lexical ambiguities solve problem using categorized database maybe wordnet beneficial categorized database means lot words includes meaning solution sub-category different meaning sub-category include related words homonym word use word different meaning match using sub-category example word bank category1sea seaside fish fisherman seagull beach category2money invest bank machine use sentence fisherman went bank fisherman match category1 translate going balk deniz kysna gitti balk bankaya gitti,60,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['problem', 'lexical', 'ambiguities', 'solve', 'problem', 'using', 'categorized', 'database', 'maybe', 'wordnet', 'beneficial', 'categorized', 'database', 'means', 'lot', 'words', 'includes', 'meaning', 'solution', 'sub-category', 'different', 'meaning', 'sub-category', 'include', 'related', 'words', 'homonym', 'word', 'use', 'word', 'different', 'meaning', 'match', 'using', 'sub-category', 'example', 'word', 'bank', 'category1sea', 'seaside', 'fish', 'fisherman', 'seagull', 'beach', 'category2money', 'invest', 'bank', 'machine', 'use', 'sentence', 'fisherman', 'went', 'bank', 'fisherman', 'match', 'category1', 'translate', 'going', 'bal\x8dk\x87\x8d', 'deniz', 'k\x8dy\x8ds\x8dna', 'gitti', 'bal\x8dk\x87\x8d', 'bankaya', 'gitti']"
128,158,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,semantic ambiguity problem solve using number different methods one method would analyzing words around ambiguity solve ambiguity choosing sense semantically related words around,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['semantic', 'ambiguity', 'problem', 'solve', 'using', 'number', 'different', 'methods', 'one', 'method', 'would', 'analyzing', 'words', 'around', 'ambiguity', 'solve', 'ambiguity', 'choosing', 'sense', 'semantically', 'related', 'words', 'around']"
129,159,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use machine translation diffucultiesfirstly use lexical ambiguity word bank also means coast bank - financial coast,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'machine', 'translation', 'diffucultiesfirstly', 'use', 'lexical', 'ambiguity', 'word', 'bank', 'also', 'means', 'coast', 'bank', '-', 'financial', 'coast']"
130,160,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,one difficulties machine translation word bank two meaning understand words meaning content near words sentence human use approach software approach instead working directly words work sentences content basically vectorize sentences vector space model represent words number way computer understand better find co occurrence similarities vectors use cluster algorithm like k-means make subgroups way see words together semantic relatively word relatively use model program,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['one', 'difficulties', 'machine', 'translation', 'word', 'bank', 'two', 'meaning', 'understand', 'words', 'meaning', 'content', 'near', 'words', 'sentence', 'human', 'use', 'approach', 'software', 'approach', 'instead', 'working', 'directly', 'words', 'work', 'sentences', 'content', 'basically', 'vectorize', 'sentences', 'vector', 'space', 'model', 'represent', 'words', 'number', 'way', 'computer', 'understand', 'better', 'find', 'co', 'occurrence', 'similarities', 'vectors', 'use', 'cluster', 'algorithm', 'like', 'k-means', 'make', 'subgroups', 'way', 'see', 'words', 'together', 'semantic', 'relatively', 'word', 'relatively', 'use', 'model', 'program']"
131,161,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,situation occurs synonym wordswe determine semantic word bankcontrasting taking every word one one need context predict determine sensewe take whole sentence one input like googles neural mt method doesand find probabilty word translation word bankthe probable one higher rate translation,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['situation', 'occurs', 'synonym', 'wordswe', 'determine', 'semantic', 'word', 'bankcontrasting', 'taking', 'every', 'word', 'one', 'one', 'need', 'context', 'predict', 'determine', 'sensewe', 'take', 'whole', 'sentence', 'one', 'input', 'like', 'googles', 'neural', 'mt', 'method', 'doesand', 'find', 'probabilty', 'word', 'translation', 'word', 'bankthe', 'probable', 'one', 'higher', 'rate', 'translation']"
132,162,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,best solution solve problem using neural machine translation need give many examples language pairs nmt difference bank coast meaning target language model lexical morphological structure defined make easier translation,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['best', 'solution', 'solve', 'problem', 'using', 'neural', 'machine', 'translation', 'need', 'give', 'many', 'examples', 'language', 'pairs', 'nmt', 'difference', 'bank', 'coast', 'meaning', 'target', 'language', 'model', 'lexical', 'morphological', 'structure', 'defined', 'make', 'easier', 'translation']"
133,163,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,project neural machine translation method best neural mt huge different sentences different languages takes words given sentence translate time operation controls words example fisherman bank words relation neural machine translation millions sentences words method give best solution,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['project', 'neural', 'machine', 'translation', 'method', 'best', 'neural', 'mt', 'huge', 'different', 'sentences', 'different', 'languages', 'takes', 'words', 'given', 'sentence', 'translate', 'time', 'operation', 'controls', 'words', 'example', 'fisherman', 'bank', 'words', 'relation', 'neural', 'machine', 'translation', 'millions', 'sentences', 'words', 'method', 'give', 'best', 'solution']"
134,164,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,lexical ambiguity use surrounding bag words method method checks words sentence finds meaning fisherman decides bank means coasts,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['lexical', 'ambiguity', 'use', 'surrounding', 'bag', 'words', 'method', 'method', 'checks', 'words', 'sentence', 'finds', 'meaning', 'fisherman', 'decides', 'bank', 'means', 'coasts']"
135,165,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,slove problem reduce ambiguities take lemmas word getoff function stop convert numeric represent vector space calculate similirty function nural machine translation enter word decoder encoder translation,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['slove', 'problem', 'reduce', 'ambiguities', 'take', 'lemmas', 'word', 'getoff', 'function', 'stop', 'convert', 'numeric', 'represent', 'vector', 'space', 'calculate', 'similirty', 'function', 'nural', 'machine', 'translation', 'enter', 'word', 'decoder', 'encoder', 'translation']"
136,166,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,important prob related ambiguites bank -banka financial bank- bank coast differences machine translation name lexical ambiguity solutionwhen designed software ambguty exenvironment semantically bankon text words environment semantically used particular wordsthis particular words tagged software find ambgutyand relevant text s -lexical ambiguities,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['important', 'prob', 'related', 'ambiguit\x8des', 'bank', '-banka', 'financial', 'bank-', 'bank', 'coast', 'differences', 'machine', 'translation', 'name', 'lexical', 'ambiguity', 'solutionwhen', 'designed', 'software', 'amb\x8dgu\x8dty', 'exenvironment', 'semantically', 'bankon', 'text', 'words', 'environment', 'semantically', 'used', 'particular', 'wordsthis', 'particular', 'words', 'tagged', 'software', 'find', 'amb\x8dgu\x8dtyand', 'relevant', 'text', '\x8ds', '-lexical', 'ambiguities']"
